palabra,freq
de,133
vuelta,1
casa,2
,137
quería,3
juntarme,1
con,25
todos,11
por,19
última,4
vez,8
esa,6
noche,6
despedirme,1
agradecerles,1
mirarlos,1
los,54
ojos,1
muchos,5
que,105
me,29
rodeaban,2
no,38
parecían,3
demasiado,2
convencidos,1
«¿otra,1
despedida?»,1
preguntaban,1
ganas,4
terminar,2
todo,10
una,27
las,13
seis,1
semanas,1
habían,8
pasado,3
desde,6
elecciones,1
sido,5
largas,1
y,68
el,55
clima,2
era,8
un,38
larguísimo,1
adiós,1
en,58
equipo,9
estaban,4
cansados,1
volver,1
finalmente,2
sus,8
casas,1
pero,8
yo,4
había,11
insistido,1
allí,5
estábamos,3
reunidos,1
detrás,1
del,19
quincho,1
calurosa,1
para,17
compartir,1
choripán,1
ministros,1
secretarios,1
funcionarios,2
diverso,1
rango,1
algunos,5
esposas,1
o,8
maridos,1
ese,9
olivos,8
ya,5
sin,3
inquilino,1
lunes,1
9,3
diciembre,1
eso,6
30,1
la,73
es,28
fácil,2
vivir,1
mezcla,1
hotel,1
destacamento,1
militar,1
diciembre,2
hacía,2
días,2
viviendo,1
junto,1
juliana,1
antonia,1
valentina,1
hija,1
ju,1
abrojos,1
mi,17
lugar,1
toda,5
vida,5
quinta,2
fue,8
muy,16
importante,4
mí,3
durante,4
cuatro,1
años,5
presidencia,2
cable,1
tierra,1
trabajo,5
abrojos,3
cambio,2
posibilidad,1
perder,1
contacto,1
conmigo,2
mismo,1
mis,2
afectos,1
siempre,7
más,17
200,1
fines,1
semana,1
fui,3
presidente,1
sólo,3
uno,9
lo,15
pasé,1
demás,2
transcurrieron,1
aquella,2
vieja,1
querida,1
forma,2
parte,5
historia,3
alguna,4
manera,1
distancia,1
expresaba,1
especie,2
respeto,3
como,12
institución,1
les,2
pertenece,1
argentinos,1
presidente,5
recordaba,1
poder,5
algo,6
temporal,1
confiado,2
ciudadanos,1
tiempo,8
preocupación,1
personal,1
mantener,1
equilibrio,2
esencial,1
hacia,1
encomendado,1
quienes,1
nos,9
votado:,1
debía,1
evitar,1
cambiara,2
mí,1
impactara,1
sobre,7
cada,7
nosotros,1
menos,1
posible,1
esto,5
requiere,1
profundo,1
emocional,1
mental,1
nada,2
al,18
fin,1
cabo,1
bicho,1
cual,2
aprendí,2
tenerle,1
mucho,2
encontrábamos,1
entoncesreunidoscon,1
tristeza,3
melancolía,1
despedida,1
hacían,1
bromas,1
otros,5
se,20
notaba,2
emoción,2
miradaestaban,1
mostraban,1
incertidumbre,1
frente,1
su,7
futuro,1
profesional,1
laboral,1
mientras,4
hablaba,1
unos,4
sentí,1
orgullo,2
haber,5
construido,1
cuestión,2
tuvo,3
importancia,2
extraordinaria,1
ha,4
escrito,1
poco,3
mayoría,1
veces,1
mal,2
quiero,1
ser,6
claro:,1
nunca,3
antes,1
existido,1
objetivo,1
formar,1
serio,1
gobierno,3
gabinetes,1
personas,3
ocupan,1
puestos,1
gobiernos,1
fueron,1
lamentablemente,1
siguen,1
siendo,1
elegidas,1
compromisos,1
políticos,1
internas,1
partidarias,1
favores,1
sector,1
otro,5
rara,1
tienen,3
cuenta,2
habilidades,1
integrarse,1
funcionamiento,2
entidad,1
mayor,2
significativa,1
caso,1
es,2
grupo,3
humano,3
funciona,1
partir,1
objetivos,1
comunes,1
marco,1
coordinación,2
comparte,1
valores,2
recíprocodonde,1
complementan,1
observándolos,1
—porque,1
total,1
eran,4
allí—,1
di,1
logrado,2
comencé,2
entender,1
equipos,3
chico,2
colegio,2
curas,1
tenían,2
obsesión,1
rugbydonde,1
complementación,2
juegos,1
incluido,1
fútbol,3
adelante,1
armar,1
organizar,1
tenía,2
alcance,1
única,1
razón:,1
malo,1
pelota,1
permitió,1
descubrir,2
nuevo,1
clave:,1
hay,4
dos,1
tipos,1
líderes,1
positivos,1
negativos,2
líder,2
puede,4
tener,1
efecto,4
malomuy,1
nocivosi,1
actúa,1
desidia,1
desprecio,1
suyos,1
llevar,2
ruina,1
dejar,2
herramientas,1
motivación,1
entrega,1
lado,2
positivo,4
tiene,4
motivar,1
permanentemente,1
están,3
atrás,2
esta,4
cualidad,1
armador,1
estaba,9
padre,1
él,1
entendió,1
recursos,1
humanos,2
inventó,1
beca,1
socma,1
jóvenes,1
profesionales,1
aplicaban,1
sometían,1
examen,1
aprobaban,1
atravesaban,1
distintas,1
áreas,1
empresas,1
buenos,2
quedaban,1
posición,1
definitiva,1
llevó,2
creer,1
ver,1
entre,2
seres,1
hacen,2
falta,2
genios,1
tengan,1
capacidad,1
complementarse,1
coordinarse,1
sí,1
trabajar,1
juntas,1
ellos,1
potencia,2
enorme,1
cualquiera,1
sienta,1
centro,1
universo,1
estos,3
principios,1
apliqué,1
empresa,1
boca,1
juniors,1
ciudad,1
aires,1
metáfora,1
útil,1
salir,1
argentina,3
país,5
individualidadespara,1
empezar,1
pensarnos,1
gran,1
compuesto,1
millones,1
capaces,1
enorme,2
si,6
